reservation_id,guest_id,hotel_id,booking_date,check_in_date,check_out_date,reservation_status,lead_time_days,market_segment,distribution_channel,adr_booked,customer_type
1,1,6,2015-06-24,2015-07-01,2015-07-02,Check-Out,7,Direct,Direct,75.00,Transient
2,2,7,2015-06-18,2015-07-01,2015-07-02,Check-Out,13,Corporate,Corporate,75.00,Transient
3,3,8,2015-06-17,2015-07-01,2015-07-03,Check-Out,14,Online TA,TA/TO,98.00,Transient
4,4,9,2015-06-17,2015-07-01,2015-07-03,Check-Out,14,Online TA,TA/TO,98.00,Transient
5,5,16,2015-07-01,2015-07-01,2015-07-03,Check-Out,0,Direct,Direct,107.00,Transient
6,6,17,2015-06-22,2015-07-01,2015-07-03,Check-Out,9,Direct,Direct,103.00,Transient
7,7,18,2015-04-07,2015-07-01,2015-07-04,Canceled,85,Online TA,TA/TO,82.00,Transient
8,8,19,2015-04-17,2015-07-01,2015-07-04,Canceled,75,Offline TA/TO,TA/TO,105.50,Transient
9,9,20,2015-06-08,2015-07-01,2015-07-05,Canceled,23,Online TA,TA/TO,123.00,Transient
10,10,26,2015-05-27,2015-07-01,2015-07-05,Check-Out,35,Online TA,TA/TO,145.00,Transient
11,11,27,2015-04-24,2015-07-01,2015-07-05,Check-Out,68,Online TA,TA/TO,97.00,Transient
12,12,28,2015-06-13,2015-07-01,2015-07-05,Check-Out,18,Online TA,TA/TO,154.77,Transient
13,13,29,2015-05-25,2015-07-01,2015-07-05,Check-Out,37,Online TA,TA/TO,94.71,Transient
14,14,30,2015-04-24,2015-07-01,2015-07-05,Check-Out,68,Online TA,TA/TO,97.00,Transient
15,15,36,2015-05-25,2015-07-01,2015-07-05,Check-Out,37,Offline TA/TO,TA/TO,97.50,Contract
16,16,37,2015-06-19,2015-07-01,2015-07-02,Check-Out,12,Online TA,TA/TO,88.20,Transient
17,17,38,2015-07-01,2015-07-01,2015-07-02,Check-Out,0,Corporate,Corporate,107.42,Transient
18,18,39,2015-06-24,2015-07-01,2015-07-05,Check-Out,7,Direct,Direct,153.00,Transient
19,19,40,2015-05-25,2015-07-01,2015-07-06,Check-Out,37,Online TA,TA/TO,97.29,Transient
20,20,46,2015-04-20,2015-07-01,2015-07-07,Check-Out,72,Direct,Direct,84.67,Transient
21,21,47,2015-04-20,2015-07-01,2015-07-07,Check-Out,72,Direct,Direct,84.67,Transient
22,22,48,2015-04-20,2015-07-01,2015-07-07,Check-Out,72,Direct,Direct,99.67,Transient
23,23,49,2015-02-24,2015-07-01,2015-07-08,Check-Out,127,Offline TA/TO,TA/TO,94.95,Contract
24,24,50,2015-04-14,2015-07-01,2015-07-08,Check-Out,78,Offline TA/TO,TA/TO,63.60,Transient
25,25,56,2015-05-14,2015-07-01,2015-07-08,Check-Out,48,Offline TA/TO,TA/TO,79.50,Contract
26,26,57,2015-05-02,2015-07-01,2015-07-08,Canceled,60,Online TA,TA/TO,107.00,Transient
27,27,58,2015-04-15,2015-07-01,2015-07-08,Check-Out,77,Online TA,TA/TO,94.00,Transient
28,28,59,2015-03-24,2015-07-01,2015-07-08,Check-Out,99,Online TA,TA/TO,87.30,Transient
29,29,60,2015-03-05,2015-07-01,2015-07-15,Check-Out,118,Direct,Direct,62.00,Transient
30,30,66,2015-03-28,2015-07-01,2015-07-16,Check-Out,95,Offline TA/TO,TA/TO,63.86,Transient
31,31,67,2015-03-27,2015-07-01,2015-07-11,Canceled,96,Direct,Direct,108.30,Transient
32,32,68,2015-04-24,2015-07-02,2015-07-08,Check-Out,69,Offline TA/TO,TA/TO,65.50,Transient
33,33,69,2015-05-18,2015-07-02,2015-07-06,Canceled,45,Online TA,TA/TO,108.80,Transient
34,34,70,2015-05-23,2015-07-02,2015-07-06,Canceled,40,Online TA,TA/TO,108.80,Transient
35,35,76,2015-06-17,2015-07-02,2015-07-06,Check-Out,15,Online TA,TA/TO,98.00,Transient
36,36,77,2015-05-27,2015-07-02,2015-07-06,Check-Out,36,Online TA,TA/TO,108.80,Transient
37,37,78,2015-05-20,2015-07-02,2015-07-06,Canceled,43,Online TA,TA/TO,108.80,Transient
38,38,79,2015-04-23,2015-07-02,2015-07-07,Check-Out,70,Direct,Direct,137.00,Transient
